Station,Year,Month,Day,Rainfall (mm),Quality
68228,1997,1,1,,
68228,1997,1,2,,
68228,1997,1,3,,
68228,1997,1,4,,
68228,1997,1,5,,
68228,1997,1,6,,
68228,1997,1,7,,
68228,1997,1,8,,
68228,1997,1,9,,
68228,1997,1,10,,
68228,1997,1,11,,
68228,1997,1,12,,
68228,1997,1,13,,
68228,1997,1,14,,
68228,1997,1,15,,
68228,1997,1,16,,
68228,1997,1,17,,
68228,1997,1,18,,
68228,1997,1,19,,
68228,1997,1,20,,
68228,1997,1,21,,
68228,1997,1,22,,
68228,1997,1,23,,
68228,1997,1,24,,
68228,1997,1,25,,
68228,1997,1,26,,
68228,1997,1,27,,
68228,1997,1,28,,
68228,1997,1,29,,
68228,1997,1,30,,
68228,1997,1,31,,
68228,1997,2,1,,
68228,1997,2,2,,
68228,1997,2,3,,
68228,1997,2,4,,
68228,1997,2,5,,
68228,1997,2,6,,
68228,1997,2,7,,
68228,1997,2,8,,
68228,1997,2,9,,
68228,1997,2,10,,
68228,1997,2,11,,
68228,1997,2,12,,
68228,1997,2,13,,
68228,1997,2,14,,
68228,1997,2,15,,
68228,1997,2,16,,
68228,1997,2,17,,
68228,1997,2,18,,
68228,1997,2,19,,
68228,1997,2,20,,
68228,1997,2,21,,
68228,1997,2,22,,
68228,1997,2,23,,
68228,1997,2,24,,
68228,1997,2,25,,
68228,1997,2,26,,
68228,1997,2,27,,
68228,1997,2,28,,
68228,1997,3,1,,
68228,1997,3,2,,
68228,1997,3,3,,
68228,1997,3,4,,
68228,1997,3,5,,
68228,1997,3,6,,
68228,1997,3,7,,
68228,1997,3,8,,
68228,1997,3,9,,
68228,1997,3,10,,
68228,1997,3,11,,
68228,1997,3,12,,
68228,1997,3,13,,
68228,1997,3,14,,
68228,1997,3,15,,
68228,1997,3,16,,
68228,1997,3,17,,
68228,1997,3,18,,
68228,1997,3,19,,
68228,1997,3,20,,
68228,1997,3,21,,
68228,1997,3,22,,
68228,1997,3,23,,
68228,1997,3,24,,
68228,1997,3,25,,
68228,1997,3,26,,
68228,1997,3,27,,
68228,1997,3,28,,
68228,1997,3,29,,
68228,1997,3,30,,
68228,1997,3,31,,
68228,1997,4,1,,
68228,1997,4,2,,
68228,1997,4,3,,
68228,1997,4,4,,
68228,1997,4,5,,
68228,1997,4,6,,
68228,1997,4,7,,
68228,1997,4,8,,
68228,1997,4,9,,
68228,1997,4,10,,
68228,1997,4,11,,
68228,1997,4,12,,
68228,1997,4,13,,
68228,1997,4,14,,
68228,1997,4,15,,
68228,1997,4,16,,
68228,1997,4,17,,
68228,1997,4,18,,
68228,1997,4,19,,
68228,1997,4,20,,
68228,1997,4,21,,
68228,1997,4,22,,
68228,1997,4,23,,
68228,1997,4,24,,
68228,1997,4,25,,
68228,1997,4,26,,
68228,1997,4,27,,
68228,1997,4,28,,
68228,1997,4,29,,
68228,1997,4,30,0,N
68228,1997,5,1,,
68228,1997,5,2,0,N
68228,1997,5,3,0,N
68228,1997,5,4,0.2,N
68228,1997,5,5,0,N
68228,1997,5,6,0,N
68228,1997,5,7,0,N
68228,1997,5,8,4,N
68228,1997,5,9,0,N
68228,1997,5,10,14,N
68228,1997,5,11,15,N
68228,1997,5,12,1,N
68228,1997,5,13,0.2,N
68228,1997,5,14,0,N
68228,1997,5,15,0,N
68228,1997,5,16,2,N
68228,1997,5,17,17,N
68228,1997,5,18,0,N
68228,1997,5,19,26,N
68228,1997,5,20,7,N
68228,1997,5,21,15,N
68228,1997,5,22,3,N
68228,1997,5,23,0.6,N
68228,1997,5,24,7,N
68228,1997,5,25,,
68228,1997,5,26,0,N
68228,1997,5,27,0.8,N
68228,1997,5,28,0.4,N
68228,1997,5,29,,
68228,1997,5,30,0,N
68228,1997,5,31,0,N
68228,1997,6,1,0,N
68228,1997,6,2,0,N
68228,1997,6,3,0,N
68228,1997,6,4,0,N
68228,1997,6,5,0,N
68228,1997,6,6,0,N
68228,1997,6,7,2,N
68228,1997,6,8,0,N
68228,1997,6,9,0,N
68228,1997,6,10,0,N
68228,1997,6,11,0,N
68228,1997,6,12,0,N
68228,1997,6,13,0,N
68228,1997,6,14,0.4,N
68228,1997,6,15,0,N
68228,1997,6,16,7,N
68228,1997,6,17,0,N
68228,1997,6,18,3,N
68228,1997,6,19,0.8,N
68228,1997,6,20,1,N
68228,1997,6,21,0.2,N
68228,1997,6,22,0,N
68228,1997,6,23,0,N
68228,1997,6,24,0,N
68228,1997,6,25,0,N
68228,1997,6,26,4,N
68228,1997,6,27,52,N
68228,1997,6,28,4,N
68228,1997,6,29,5,N
68228,1997,6,30,1,N
68228,1997,7,1,7,N
68228,1997,7,2,1,N
68228,1997,7,3,3,N
68228,1997,7,4,0.2,N
68228,1997,7,5,1,N
68228,1997,7,6,5,N
68228,1997,7,7,14,N
68228,1997,7,8,0,N
68228,1997,7,9,0,N
68228,1997,7,10,0,N
68228,1997,7,11,0,N
68228,1997,7,12,0,N
68228,1997,7,13,0,N
68228,1997,7,14,11,N
68228,1997,7,15,2,N
68228,1997,7,16,0,N
68228,1997,7,17,,
68228,1997,7,18,,
68228,1997,7,19,,
68228,1997,7,20,0,N
68228,1997,7,21,0,N
68228,1997,7,22,0,N
68228,1997,7,23,0,N
68228,1997,7,24,2,N
68228,1997,7,25,0,N
68228,1997,7,26,0,N
68228,1997,7,27,2,N
68228,1997,7,28,0,N
68228,1997,7,29,0,N
68228,1997,7,30,0,N
68228,1997,7,31,0,N
68228,1997,8,1,0,N
68228,1997,8,2,0,N
68228,1997,8,3,0,N
68228,1997,8,4,0,N
68228,1997,8,5,7,N
68228,1997,8,6,0,N
68228,1997,8,7,2,N
68228,1997,8,8,0,N
68228,1997,8,9,0,N
68228,1997,8,10,0,N
68228,1997,8,11,0,N
68228,1997,8,12,0,N
68228,1997,8,13,0,N
68228,1997,8,14,0,N
68228,1997,8,15,0,N
68228,1997,8,16,0,N
68228,1997,8,17,0,N
68228,1997,8,18,0,N
68228,1997,8,19,0,N
68228,1997,8,20,0,N
68228,1997,8,21,18,N
68228,1997,8,22,0.2,N
68228,1997,8,23,0,N
68228,1997,8,24,0,N
68228,1997,8,25,0,N
68228,1997,8,26,0,N
68228,1997,8,27,,
68228,1997,8,28,0,N
68228,1997,8,29,0,N
68228,1997,8,30,0,N
68228,1997,8,31,0,N
68228,1997,9,1,1,N
68228,1997,9,2,6,N
68228,1997,9,3,3,N
68228,1997,9,4,0,N
68228,1997,9,5,,
68228,1997,9,6,1,N
68228,1997,9,7,6,N
68228,1997,9,8,0,N
68228,1997,9,9,0.4,N
68228,1997,9,10,0,N
68228,1997,9,11,0,N
68228,1997,9,12,0.2,N
68228,1997,9,13,0,N
68228,1997,9,14,0,N
68228,1997,9,15,0.2,N
68228,1997,9,16,0,N
68228,1997,9,17,1,N
68228,1997,9,18,0.6,N
68228,1997,9,19,1,N
68228,1997,9,20,11,N
68228,1997,9,21,1,N
68228,1997,9,22,0.4,N
68228,1997,9,23,1,N
68228,1997,9,24,33,N
68228,1997,9,25,16,N
68228,1997,9,26,7,N
68228,1997,9,27,7,N
68228,1997,9,28,0,N
68228,1997,9,29,2,N
68228,1997,9,30,0,N
68228,1997,10,1,0,N
