Station,Year,Month,Day,Rainfall (mm),Quality
70339,1996,1,1,,
70339,1996,1,2,,
70339,1996,1,3,,
70339,1996,1,4,,
70339,1996,1,5,,
70339,1996,1,6,,
70339,1996,1,7,,
70339,1996,1,8,,
70339,1996,1,9,,
70339,1996,1,10,,
70339,1996,1,11,,
70339,1996,1,12,,
70339,1996,1,13,,
70339,1996,1,14,,
70339,1996,1,15,,
70339,1996,1,16,,
70339,1996,1,17,,
70339,1996,1,18,,
70339,1996,1,19,,
70339,1996,1,20,,
70339,1996,1,21,,
70339,1996,1,22,,
70339,1996,1,23,,
70339,1996,1,24,,
70339,1996,1,25,,
70339,1996,1,26,,
70339,1996,1,27,,
70339,1996,1,28,,
70339,1996,1,29,,
70339,1996,1,30,,
70339,1996,1,31,,
70339,1996,2,1,,
70339,1996,2,2,,
70339,1996,2,3,,
70339,1996,2,4,,
70339,1996,2,5,,
70339,1996,2,6,,
70339,1996,2,7,,
70339,1996,2,8,,
70339,1996,2,9,,
70339,1996,2,10,,
70339,1996,2,11,,
70339,1996,2,12,,
70339,1996,2,13,,
70339,1996,2,14,,
70339,1996,2,15,,
70339,1996,2,16,,
70339,1996,2,17,,
70339,1996,2,18,,
70339,1996,2,19,,
70339,1996,2,20,,
70339,1996,2,21,,
70339,1996,2,22,,
70339,1996,2,23,,
70339,1996,2,24,,
70339,1996,2,25,,
70339,1996,2,26,,
70339,1996,2,27,,
70339,1996,2,28,,
70339,1996,2,29,,
70339,1996,3,1,,
70339,1996,3,2,,
70339,1996,3,3,,
70339,1996,3,4,,
70339,1996,3,5,,
70339,1996,3,6,,
70339,1996,3,7,,
70339,1996,3,8,,
70339,1996,3,9,,
70339,1996,3,10,,
70339,1996,3,11,,
70339,1996,3,12,,
70339,1996,3,13,,
70339,1996,3,14,,
70339,1996,3,15,,
70339,1996,3,16,,
70339,1996,3,17,,
70339,1996,3,18,,
70339,1996,3,19,,
70339,1996,3,20,,
70339,1996,3,21,,
70339,1996,3,22,,
70339,1996,3,23,,
70339,1996,3,24,,
70339,1996,3,25,,
70339,1996,3,26,,
70339,1996,3,27,,
70339,1996,3,28,,
70339,1996,3,29,,
70339,1996,3,30,,
70339,1996,3,31,,
70339,1996,4,1,,
70339,1996,4,2,,
70339,1996,4,3,,
70339,1996,4,4,,
70339,1996,4,5,,
70339,1996,4,6,,
70339,1996,4,7,,
70339,1996,4,8,,
70339,1996,4,9,,
70339,1996,4,10,,
70339,1996,4,11,,
70339,1996,4,12,,
70339,1996,4,13,,
70339,1996,4,14,,
70339,1996,4,15,,
70339,1996,4,16,,
70339,1996,4,17,,
70339,1996,4,18,,
70339,1996,4,19,,
70339,1996,4,20,,
70339,1996,4,21,,
70339,1996,4,22,,
70339,1996,4,23,,
70339,1996,4,24,,
70339,1996,4,25,,
70339,1996,4,26,,
70339,1996,4,27,,
70339,1996,4,28,,
70339,1996,4,29,,
70339,1996,4,30,,
70339,1996,5,1,,
70339,1996,5,2,,
70339,1996,5,3,,
70339,1996,5,4,,
70339,1996,5,5,,
70339,1996,5,6,,
70339,1996,5,7,,
70339,1996,5,8,,
70339,1996,5,9,,
70339,1996,5,10,,
70339,1996,5,11,,
70339,1996,5,12,,
70339,1996,5,13,,
70339,1996,5,14,,
70339,1996,5,15,,
70339,1996,5,16,,
70339,1996,5,17,,
70339,1996,5,18,,
70339,1996,5,19,,
70339,1996,5,20,,
70339,1996,5,21,,
70339,1996,5,22,,
70339,1996,5,23,,
70339,1996,5,24,,
70339,1996,5,25,,
70339,1996,5,26,,
70339,1996,5,27,,
70339,1996,5,28,0.2,N
70339,1996,5,29,0,N
70339,1996,5,30,0,N
70339,1996,5,31,0.2,N
70339,1996,6,1,,
70339,1996,6,2,,
70339,1996,6,3,,
70339,1996,6,4,0.8,N
70339,1996,6,5,0.4,N
70339,1996,6,6,0,N
70339,1996,6,7,0,N
70339,1996,6,8,,
70339,1996,6,9,,
70339,1996,6,10,,
70339,1996,6,11,,
70339,1996,6,12,,
70339,1996,6,13,0,N
70339,1996,6,14,0.2,N
70339,1996,6,15,,
70339,1996,6,16,0,N
70339,1996,6,17,0.2,N
70339,1996,6,18,0,N
70339,1996,6,19,0,N
70339,1996,6,20,0,N
70339,1996,6,21,,
70339,1996,6,22,0,N
70339,1996,6,23,32,N
70339,1996,6,24,3,N
70339,1996,6,25,0,N
70339,1996,6,26,5,N
70339,1996,6,27,2,N
70339,1996,6,28,0,N
70339,1996,6,29,,
70339,1996,6,30,6,N
70339,1996,7,1,0,N
70339,1996,7,2,,
70339,1996,7,3,0,N
70339,1996,7,4,,
70339,1996,7,5,,
70339,1996,7,6,13,N
70339,1996,7,7,0,N
70339,1996,7,8,0,N
70339,1996,7,9,,
70339,1996,7,10,0,N
70339,1996,7,11,,
70339,1996,7,12,,
70339,1996,7,13,0,N
70339,1996,7,14,,
70339,1996,7,15,,
70339,1996,7,16,0,N
70339,1996,7,17,0,N
70339,1996,7,18,0.2,N
70339,1996,7,19,0,N
70339,1996,7,20,4,N
70339,1996,7,21,0.8,N
70339,1996,7,22,,
70339,1996,7,23,0.2,N
70339,1996,7,24,2,N
70339,1996,7,25,0,N
70339,1996,7,26,0,N
70339,1996,7,27,,
70339,1996,7,28,8,N
70339,1996,7,29,0.6,N
70339,1996,7,30,0,N
70339,1996,7,31,,
70339,1996,8,1,0.4,N
70339,1996,8,2,4,N
70339,1996,8,3,,
70339,1996,8,4,9,N
70339,1996,8,5,7,N
70339,1996,8,6,0.2,N
70339,1996,8,7,,
70339,1996,8,8,3,N
70339,1996,8,9,,
70339,1996,8,10,,
70339,1996,8,11,,
70339,1996,8,12,,
70339,1996,8,13,0,N
70339,1996,8,14,0,N
70339,1996,8,15,,
70339,1996,8,16,0.6,N
70339,1996,8,17,0,N
70339,1996,8,18,,
70339,1996,8,19,1,N
70339,1996,8,20,0,N
70339,1996,8,21,,
70339,1996,8,22,0,N
70339,1996,8,23,,
70339,1996,8,24,,
70339,1996,8,25,0,N
70339,1996,8,26,0,N
70339,1996,8,27,3,N
70339,1996,8,28,0,N
70339,1996,8,29,,
70339,1996,8,30,0,N
70339,1996,8,31,,
70339,1996,9,1,0,N
70339,1996,9,2,0,N
70339,1996,9,3,0,N
70339,1996,9,4,,
70339,1996,9,5,0,N
70339,1996,9,6,0.2,N
70339,1996,9,7,,
70339,1996,9,8,,
70339,1996,9,9,,
70339,1996,9,10,2,N
70339,1996,9,11,0,N
70339,1996,9,12,9,N
70339,1996,9,13,,
70339,1996,9,14,5,N
70339,1996,9,15,0,N
70339,1996,9,16,0,N
70339,1996,9,17,0,N
70339,1996,9,18,0,N
70339,1996,9,19,,
70339,1996,9,20,34,N
70339,1996,9,21,0,N
70339,1996,9,22,0,N
70339,1996,9,23,0,N
70339,1996,9,24,0,N
70339,1996,9,25,0,N
70339,1996,9,26,0,N
70339,1996,9,27,0.6,N
70339,1996,9,28,0,N
70339,1996,9,29,,
70339,1996,9,30,23,N
70339,1996,10,1,13,N
70339,1996,10,2,,
70339,1996,10,3,0,N
70339,1996,10,4,,
70339,1996,10,5,0,N
70339,1996,10,6,,
70339,1996,10,7,,
70339,1996,10,8,,
70339,1996,10,9,0,N
70339,1996,10,10,0,N
70339,1996,10,11,0,N
70339,1996,10,12,32,N
70339,1996,10,13,0,N
70339,1996,10,14,,
70339,1996,10,15,,
70339,1996,10,16,,
70339,1996,10,17,2,N
70339,1996,10,18,7,N
70339,1996,10,19,0,N
70339,1996,10,20,0,N
70339,1996,10,21,0,N
70339,1996,10,22,0,N
70339,1996,10,23,0,N
70339,1996,10,24,,
70339,1996,10,25,0,N
70339,1996,10,26,0,N
