Station,Year,Month,Day,Max Temp (C),Quality
9037,1965,1,1,40.6,Y
9037,1965,1,2,40,Y
9037,1965,1,3,41.1,Y
9037,1965,1,4,41.1,Y
9037,1965,1,5,42.1,Y
9037,1965,1,6,38.6,Y
9037,1965,1,7,35.8,Y
9037,1965,1,8,33.3,Y
9037,1965,1,9,31.1,Y
9037,1965,1,10,34,Y
9037,1965,1,11,35.7,Y
9037,1965,1,12,28.4,Y
9037,1965,1,13,32.3,Y
9037,1965,1,14,31.7,Y
9037,1965,1,15,26.7,Y
9037,1965,1,16,25.6,Y
9037,1965,1,17,28.9,Y
9037,1965,1,18,34.6,Y
9037,1965,1,19,37.8,Y
9037,1965,1,20,39.6,Y
9037,1965,1,21,40.7,Y
9037,1965,1,22,31.9,Y
9037,1965,1,23,33.3,Y
9037,1965,1,24,37.5,Y
9037,1965,1,25,30.6,Y
9037,1965,1,26,30.6,Y
9037,1965,1,27,22.9,Y
9037,1965,1,28,26.3,Y
9037,1965,1,29,31.9,Y
9037,1965,1,30,37.9,Y
9037,1965,1,31,25.6,Y
9037,1965,2,1,26.7,Y
9037,1965,2,2,26.7,Y
9037,1965,2,3,35.6,Y
9037,1965,2,4,38.3,Y
9037,1965,2,5,38.2,Y
9037,1965,2,6,36.7,Y
9037,1965,2,7,30.1,Y
9037,1965,2,8,35.1,Y
9037,1965,2,9,37.8,Y
9037,1965,2,10,38.7,Y
9037,1965,2,11,28.3,Y
9037,1965,2,12,33.9,Y
9037,1965,2,13,33.9,Y
9037,1965,2,14,26.4,Y
9037,1965,2,15,27.5,Y
9037,1965,2,16,31.4,Y
9037,1965,2,17,30.2,Y
9037,1965,2,18,32.9,Y
9037,1965,2,19,31.5,Y
9037,1965,2,20,26.3,Y
9037,1965,2,21,30.3,Y
9037,1965,2,22,35.7,Y
9037,1965,2,23,39.7,Y
9037,1965,2,24,40.5,Y
9037,1965,2,25,39.4,Y
9037,1965,2,26,38.9,Y
9037,1965,2,27,38.9,Y
9037,1965,2,28,36,Y
9037,1965,3,1,35.8,Y
9037,1965,3,2,35.9,Y
9037,1965,3,3,36.7,Y
9037,1965,3,4,38.9,Y
9037,1965,3,5,28.8,Y
9037,1965,3,6,31.7,Y
9037,1965,3,7,34.2,Y
9037,1965,3,8,33.3,Y
9037,1965,3,9,36.2,Y
9037,1965,3,10,29.6,Y
9037,1965,3,11,27.5,Y
9037,1965,3,12,28.9,Y
9037,1965,3,13,28,Y
9037,1965,3,14,32.6,Y
9037,1965,3,15,25.2,Y
9037,1965,3,16,24.7,Y
9037,1965,3,17,25.2,Y
9037,1965,3,18,30.2,Y
9037,1965,3,19,30.6,Y
9037,1965,3,20,29.3,Y
9037,1965,3,21,30.8,Y
9037,1965,3,22,33.1,Y
9037,1965,3,23,35.1,Y
9037,1965,3,24,37.2,Y
9037,1965,3,25,31.9,Y
9037,1965,3,26,28.9,Y
9037,1965,3,27,28.8,Y
9037,1965,3,28,28.3,Y
9037,1965,3,29,26.9,Y
9037,1965,3,30,34.7,Y
9037,1965,3,31,37.8,Y
9037,1965,4,1,37.9,Y
9037,1965,4,2,37.9,Y
9037,1965,4,3,24.7,Y
9037,1965,4,4,24.4,Y
9037,1965,4,5,27.9,Y
9037,1965,4,6,36.1,Y
9037,1965,4,7,28.3,Y
9037,1965,4,8,26.6,Y
9037,1965,4,9,29.1,Y
9037,1965,4,10,34.2,Y
9037,1965,4,11,34.1,Y
9037,1965,4,12,34.1,Y
9037,1965,4,13,21.2,Y
9037,1965,4,14,21,Y
9037,1965,4,15,,
9037,1965,4,16,,
9037,1965,4,17,25.2,N
9037,1965,4,18,25.3,Y
9037,1965,4,19,29.4,Y
9037,1965,4,20,28.5,Y
9037,1965,4,21,27.3,Y
9037,1965,4,22,27.1,Y
9037,1965,4,23,33.3,Y
9037,1965,4,24,32.5,Y
9037,1965,4,25,25.3,Y
9037,1965,4,26,28.1,Y
9037,1965,4,27,27.9,Y
9037,1965,4,28,24.1,Y
9037,1965,4,29,27.1,Y
9037,1965,4,30,29.6,Y
9037,1965,5,1,21.2,Y
9037,1965,5,2,19.1,Y
9037,1965,5,3,17.7,Y
9037,1965,5,4,15.4,Y
9037,1965,5,5,20.3,Y
9037,1965,5,6,21.6,Y
9037,1965,5,7,21.7,Y
9037,1965,5,8,19.6,Y
9037,1965,5,9,18.5,Y
9037,1965,5,10,19.1,Y
9037,1965,5,11,23.1,Y
9037,1965,5,12,20.4,Y
9037,1965,5,13,21.4,Y
9037,1965,5,14,19.8,Y
9037,1965,5,15,20.1,Y
9037,1965,5,16,22.4,Y
9037,1965,5,17,25.6,Y
9037,1965,5,18,24.3,Y
9037,1965,5,19,23.3,Y
9037,1965,5,20,24.9,Y
9037,1965,5,21,23.9,Y
9037,1965,5,22,23.7,Y
9037,1965,5,23,22.9,Y
9037,1965,5,24,21.1,Y
9037,1965,5,25,22.9,Y
9037,1965,5,26,23,Y
9037,1965,5,27,17.7,Y
9037,1965,5,28,19.9,Y
9037,1965,5,29,17.3,Y
9037,1965,5,30,16.2,Y
9037,1965,5,31,18.1,Y
9037,1965,6,1,18.4,Y
9037,1965,6,2,18.8,Y
9037,1965,6,3,19.9,Y
9037,1965,6,4,22.6,Y
9037,1965,6,5,19.8,Y
9037,1965,6,6,16.3,Y
9037,1965,6,7,16.1,Y
9037,1965,6,8,15.3,Y
9037,1965,6,9,18.2,Y
9037,1965,6,10,20.6,Y
9037,1965,6,11,23.2,Y
9037,1965,6,12,24.4,Y
9037,1965,6,13,19.4,Y
9037,1965,6,14,18.8,Y
9037,1965,6,15,20.1,Y
9037,1965,6,16,19.4,Y
9037,1965,6,17,20.8,Y
9037,1965,6,18,17.6,Y
9037,1965,6,19,14.9,Y
9037,1965,6,20,16.1,Y
9037,1965,6,21,14.5,Y
9037,1965,6,22,16.7,Y
9037,1965,6,23,21.2,Y
9037,1965,6,24,19.9,Y
9037,1965,6,25,19.7,Y
9037,1965,6,26,15.9,Y
9037,1965,6,27,16.4,Y
9037,1965,6,28,16.7,Y
9037,1965,6,29,12.8,Y
9037,1965,6,30,15.5,Y
9037,1965,7,1,16.6,Y
9037,1965,7,2,17.3,Y
9037,1965,7,3,17.8,Y
9037,1965,7,4,17.2,Y
9037,1965,7,5,18.4,Y
9037,1965,7,6,17.9,Y
9037,1965,7,7,19.6,Y
9037,1965,7,8,18.9,Y
9037,1965,7,9,14.7,Y
9037,1965,7,10,16,Y
9037,1965,7,11,16.7,Y
9037,1965,7,12,16.8,Y
9037,1965,7,13,16.3,Y
9037,1965,7,14,16.6,Y
9037,1965,7,15,16.3,Y
9037,1965,7,16,17,Y
9037,1965,7,17,20.1,Y
9037,1965,7,18,21.3,Y
9037,1965,7,19,14.1,Y
9037,1965,7,20,17,Y
9037,1965,7,21,16.6,Y
9037,1965,7,22,17.2,Y
9037,1965,7,23,17.7,Y
9037,1965,7,24,18.6,Y
9037,1965,7,25,13.7,Y
9037,1965,7,26,13.8,Y
9037,1965,7,27,15.7,Y
9037,1965,7,28,18.6,Y
9037,1965,7,29,17.9,Y
9037,1965,7,30,14.8,Y
9037,1965,7,31,,
9037,1965,8,1,14.4,N
9037,1965,8,2,16.4,Y
9037,1965,8,3,15.9,Y
9037,1965,8,4,15.9,Y
9037,1965,8,5,16.7,Y
9037,1965,8,6,19.8,Y
9037,1965,8,7,19.7,Y
9037,1965,8,8,18.8,Y
9037,1965,8,9,18.9,Y
9037,1965,8,10,17.9,Y
9037,1965,8,11,18.2,Y
9037,1965,8,12,16.3,Y
9037,1965,8,13,16.9,Y
9037,1965,8,14,14.6,Y
9037,1965,8,15,16.6,Y
9037,1965,8,16,18.7,Y
9037,1965,8,17,15.6,Y
9037,1965,8,18,16.4,Y
9037,1965,8,19,16.6,Y
9037,1965,8,20,17.8,Y
9037,1965,8,21,14.4,Y
9037,1965,8,22,16.7,Y
9037,1965,8,23,17.3,Y
9037,1965,8,24,16.1,Y
9037,1965,8,25,16,Y
9037,1965,8,26,18.6,Y
9037,1965,8,27,20,Y
9037,1965,8,28,22.8,Y
9037,1965,8,29,20.5,Y
9037,1965,8,30,18.6,Y
9037,1965,8,31,16,Y
9037,1965,9,1,17.5,Y
9037,1965,9,2,19.2,Y
9037,1965,9,3,18.9,Y
9037,1965,9,4,18.2,Y
9037,1965,9,5,19.4,Y
9037,1965,9,6,18.1,Y
9037,1965,9,7,17.4,Y
9037,1965,9,8,20.4,Y
9037,1965,9,9,19.6,Y
9037,1965,9,10,20.2,Y
9037,1965,9,11,20.8,Y
9037,1965,9,12,26.9,Y
9037,1965,9,13,17.2,Y
9037,1965,9,14,15.7,Y
9037,1965,9,15,15.1,Y
9037,1965,9,16,17.8,Y
9037,1965,9,17,20.8,Y
9037,1965,9,18,23.7,Y
9037,1965,9,19,17.3,Y
9037,1965,9,20,16.8,Y
9037,1965,9,21,24.2,Y
9037,1965,9,22,25.5,Y
9037,1965,9,23,20.3,Y
9037,1965,9,24,22.2,Y
9037,1965,9,25,17.8,Y
9037,1965,9,26,15.8,Y
9037,1965,9,27,19.6,Y
