borough,cd_number,cd_name,year,population
Bronx,1,"Melrose, Mott Haven, Port Morris",1970,138557
Bronx,2,"Hunts Point, Longwood",1970,99493
Bronx,3,"Morrisania, Crotona Park East",1970,150636
Bronx,4,"Highbridge, Concourse Village",1970,144207
Bronx,5,"University Hts., Fordham, Mt. Hope",1970,121807
Bronx,6,"East Tremont, Belmont",1970,114137
Bronx,7,"Bedford Park, Norwood, Fordham",1970,113764
Bronx,8,"Riverdale, Kingsbridge, Marble Hill",1970,103543
Bronx,9,"Soundview, Parkchester",1970,166442
Bronx,10,"Throgs Nk., Co-op City, Pelham Bay",1970,84948
Bronx,11,"Pelham Pkwy, Morris Park, Laconia",1970,105980
Bronx,12,"Wakefield, Williamsbridge",1970,135010
Brooklyn,1,"Williamsburg, Greenpoint",1970,179390
Brooklyn,2,"Brooklyn Heights, Fort Greene",1970,110221
Brooklyn,3,Bedford Stuyvesant,1970,203380
Brooklyn,4,Bushwick,1970,137902
Brooklyn,5,"East New York, Starrett City",1970,170791
Brooklyn,6,"Park Slope, Carroll Gardens",1970,138933
Brooklyn,7,"Sunset Park, Windsor Terrace",1970,111607
Brooklyn,8,Crown Heights North,1970,121821
Brooklyn,9,"Crown Heights South, Wingate",1970,101047
Brooklyn,10,"Bay Ridge, Dyker Heights",1970,129822
Brooklyn,11,"Bensonhurst, Bath Beach",1970,170119
Brooklyn,12,"Borough Park, Ocean Parkway",1970,166301
Brooklyn,13,"Coney Island, Brighton Beach",1970,97750
Brooklyn,14,"Flatbush, Midwood",1970,137041
Brooklyn,15,"Sheepshead Bay, Gerritsen Beach",1970,164815
Brooklyn,16,"Brownsville, Ocean Hill",1970,122589
Brooklyn,17,"East Flatbush, Rugby, Farragut",1970,149496
Brooklyn,18,"Canarsie, Flatlands",1970,188643
Manhattan,1,"Battery Park City, Tribeca",1970,7706
Manhattan,2,"Greenwich Village, Soho",1970,84337
Manhattan,3,"Lower East Side, Chinatown",1970,181845
Manhattan,4,"Chelsea, Clinton",1970,83601
Manhattan,5,Midtown Business District,1970,31076
Manhattan,6,"Stuyvesant Town, Turtle Bay",1970,122465
Manhattan,7,"West Side, Upper West Side",1970,212422
Manhattan,8,Upper East Side,1970,200851
Manhattan,9,"Manhattanville, Hamilton Heights",1970,113606
Manhattan,10,Central Harlem,1970,159267
Manhattan,11,East Harlem,1970,154662
Manhattan,12,"Washington Heights, Inwood",1970,180561
Queens,1,"Astoria, Long Island City",1970,185925
Queens,2,"Sunnyside, Woodside",1970,95073
Queens,3,"Jackson Heights, North Corona",1970,123635
Queens,4,"Elmhurst, South Corona",1970,108233
Queens,5,"Ridgewood, Glendale, Maspeth",1970,161022
Queens,6,"Forest Hills, Rego Park",1970,120429
Queens,7,"Flushing, Bay Terrace",1970,207589
Queens,8,"Fresh Meadows, Briarwood",1970,142468
Queens,9,"Woodhaven, Richmond Hill",1970,110367
Queens,10,"Ozone Park, Howard Beach",1970,113857
Queens,11,"Bayside, Douglaston, Little Neck",1970,127883
Queens,12,"Jamaica, St. Albans, Hollis",1970,206639
Queens,13,"Queens Village, Rosedale",1970,184647
Queens,14,"The Rockaways, Broad Channel",1970,98228
Staten Island,1,"Stapleton, Port Richmond",1970,135875
Staten Island,2,"New Springville, South Beach",1970,85985
Staten Island,3,"Tottenville, Woodrow, Great Kills",1970,72815
Bronx,1,"Melrose, Mott Haven, Port Morris",1980,78441
Bronx,2,"Hunts Point, Longwood",1980,34399
Bronx,3,"Morrisania, Crotona Park East",1980,53635
Bronx,4,"Highbridge, Concourse Village",1980,114312
