prop_id,name,location,zip
B001,American Playground,Franklin St. bet. Milton St. and Noble St.,11222
B002,Amersfort Park,"E. 38 St., E. 38 St. bet. Ave. I and Ave. J",11210
B003,Bartel-Pritchard Square,"Prospect Park W., 15 St.",11215
B006,Beattie Square,"Broadway, Stuyvesant Ave., Vernon Ave.",11221
B007,Bensonhurst Park,Cropsey Ave. bet. 21 Ave. and Bay Pkwy.,11214
B008,Betsy Head Park,"Blake Ave., Dumont Ave., Livonia Ave. bet. Strauss St., Hopkinson Ave. and Bristol St.",11212
B010,Brooklyn Botanic Garden,"Washington Ave., Flatbush Ave. bet. Eastern Pkwy. and Empire Blvd.",11238
B012,Brower Park,"St. Mark's Ave., Park Pl. bet. Brooklyn Ave. and Kingston Ave.",11213
B016,Maria Hernandez Park,"Irving Ave., Kinickerbocker Ave. bet. Starr St. and Suydam St.",11237
B017,Bushwick Playground,Knickerbocker Ave. bet. Woodbine St. and Putnam Ave.,11237
B018,Canarsie Park,"Seaview Ave. bet. Paerdegat Basin and E. 93 St., E. 102 St. and Fresh Creek Basin  ","11236, 11239"
B019,Carroll Park,"Court St., Smith St., bet. Carroll St. and President St.",11231
B021,Commodore Barry Park,"Nassau St., Park Ave., bet. Navy St. and N. Elliot Pl.",11201
B022,Middleton Playground,"Lynch St., Middleton St. bet. Lee Ave. and Bedford Ave.",11206
B023,Lafayette Playground,Lafayette Ave. bet. Malcolm X Blvd. and Patch Ave.,11221
B025,Cooper Park,"Maspeth Ave., Sharon St. bet. Olive St. and Morgan Ave.",11211
B026,Cuyler Gore Park,"Carlton Ave., Fulton St., Green Ave.",11238
B027,Veterans Triangle,"Hegeman Ave., New Lots Ave. bet. Watkins St. and Mother Gaston Blvd.",11212
B028,Dyker Beach Park,"86 St., Belt Pkwy. bet. Bay 8 St., 14 Ave., and 7 Ave.","11209, 11228"
B029,Eastern Parkway,Eastern Pkwy. bet. Grand Army Plaza and Ralph Ave.,"11213, 11216, 11225, 11233, 11238"
B030,Eastern Parkway Extension,Eastern Pkwy. bet. Ralph Ave. and Bushwick Ave.,"11207, 11233"
B031,Fidelity Triangle,Monitor St. bet. Engert Ave. and Meeker Ave.,11222
B032,Fort Greene Park,"Myrtle Ave., De Kalb Ave. bet. Washington Park and St. Edward's St.","11201, 11205"
B033,Fort Hamilton Triangle,"5 Ave., 4 Ave., 94 St.",11209
B035,John Paul Jones Park,"101 St., Shore Pkwy. bet. 4 Ave. and Ft. Hamilton Pkwy.",11209
B036,Fort Stirling Park,Clark St. at Columbia Heights and the Brooklyn-Queens Exwy.,11201
B037,Freedom Triangle,"Bushwick Ave., Myrtle Ave., Willoughby Ave.",11221
B038,Fulton Park,Chauncey St. bet. Lewis Ave. and Stuyvesant Ave.,11233
B040,Grand Army Plaza,"Flatbush Ave., Eastern Pkwy. and Prospect Park","11215, 11217, 11238"
B041,Grant Gore,"Bedford Ave., Rodgers Ave., Bergen St.",11216
B042,Gravesend Park,"18 Ave., 19 Ave., bet. 55 St. and 58 St.",11204
B043,Greenpoint Playground,Franklin St. bet. Commerical St. and Dupoint St.,11222
B044,Dr. Ronald McNair Park,"Eastern Pkwy., Washington Ave., Classon Ave.",11225
B045,Heisser Triangle,"Knickerbocker Ave., Myrtle Ave., Bleecker St.",11237
B047,Highland Park,Jamaica Ave. and Highland Blvd. from Highland Pl. to Bulwer Pl.,"11207, 11208, 11385"
B048,Brooklyn Museum,Eastern Pkwy. at Washington Ave.,11238
B049,Irving Square Park,"Wilson Ave., Knickerbocker Ave., bet. Halsey St. and Weirfield St.",11207
