zip_code,income_group,n_returns,n_single,n_joint,number_dependents,total_income
10001,1,3740,2890,350,870,43182
10001,2,2500,1850,240,690,92133
10001,3,1950,1540,190,310,120922
10001,4,1410,1120,170,190,121880
10001,5,2580,1850,560,440,361453
10001,6,2340,1200,1030,790,1551726
10002,1,21180,12550,5360,8490,251169
10002,2,8210,4660,1900,4480,296557
10002,3,4810,3300,730,1590,294566
10002,4,2710,1850,520,800,234445
10002,5,3620,2200,1120,1270,492846
10002,6,1650,710,870,860,711944
10003,1,5030,4400,330,450,57692
10003,2,3870,3350,280,380,145922
10003,3,3960,3470,280,300,245389
10003,4,3220,2710,330,280,279492
10003,5,6300,4830,1190,730,889971
10003,6,6280,3070,2930,2350,5004376
10004,1,360,280,30,60,3984
10004,2,250,200,30,60,9502
10004,3,290,250,40,20,18125
10004,4,210,170,0,30,18000
10004,5,520,340,130,150,76347
10004,6,850,220,570,710,694000
10005,1,690,620,30,60,8251
10005,2,750,700,20,30,29012
10005,3,860,780,40,50,53881
10005,4,660,570,40,50,56928
10005,5,1360,1070,220,190,193954
10005,6,1620,620,910,840,2803445
10006,1,310,260,40,50,3574
10006,2,290,260,0,20,10889
10006,3,330,300,40,30,20718
10006,4,250,220,0,40,21836
10006,5,620,450,130,140,89627
10006,6,570,240,300,300,313510
10007,1,470,410,30,40,4981
10007,2,320,270,30,60,12155
10007,3,280,230,20,50,17078
10007,4,210,160,30,50,18685
10007,5,590,410,110,170,85682
10007,6,1570,530,970,1090,2885302
10009,1,9560,7010,950,3210,115067
10009,2,6660,4870,660,2170,247641
10009,3,5480,4360,500,1040,337717
10009,4,3580,2780,460,580,309543
10009,5,5030,3290,1370,1140,689153
10009,6,2100,870,1120,980,874997
10010,1,2560,2200,180,290,28472
10010,2,2280,1900,170,320,86310
10010,3,2550,2180,190,250,158359
10010,4,1980,1650,180,210,172226
10010,5,4010,2940,830,640,563486
10010,6,3980,1800,1990,1770,2909283
10011,1,5120,4320,300,790,58598
10011,2,3680,2990,270,590,138122
10011,3,3650,3050,300,370,227503
10011,4,3130,2600,310,300,271870
10011,5,6870,5310,1200,800,976450
10011,6,7470,3810,3320,2640,6299474
10012,1,2390,1960,240,320,27366
10012,2,1740,1460,160,220,65574
10012,3,1730,1450,190,140,106786
10012,4,1340,1100,150,140,116363
10012,5,2730,2050,540,350,382786
10012,6,2540,1240,1150,1100,2500010
