taxon,common.name,class,order,family,genus,species,primarymethod,N,mean.mass.g,log10.mass,alternative.mass.reference,mean.hra.m2,log10.hra,hra.reference,realm,thermoregulation,locomotion,trophic.guild,dimension,preymass,log10.preymass,PPMR,prey.size.reference
lake fishes,american eel,actinopterygii,anguilliformes,anguillidae,anguilla,rostrata,telemetry,16,887,2.94792362,NA,282750,5.451402614,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,3D,NA,NA,NA,NA
river fishes,blacktail redhorse,actinopterygii,cypriniformes,catostomidae,moxostoma,poecilura,mark-recapture,NA,562,2.749736316,NA,282.1,2.450403086,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
river fishes,central stoneroller,actinopterygii,cypriniformes,cyprinidae,campostoma,anomalum,mark-recapture,20,34,1.531478917,NA,116.11,2.064869625,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
river fishes,rosyside dace,actinopterygii,cypriniformes,cyprinidae,clinostomus,funduloides,mark-recapture,26,4,0.602059991,NA,125.5,2.098643726,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
river fishes,longnose dace,actinopterygii,cypriniformes,cyprinidae,rhinichthys,cataractae,mark-recapture,17,4,0.602059991,NA,87.1,1.940018155,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
river fishes,muskellunge ,actinopterygii,esociformes,esocidae,esox,masquinongy,telemetry,5,3525,3.547159121,NA,39343.5,4.594872992,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,pollack,actinopterygii,gadiformes,gadidae,pollachius,pollachius,telemetry,2,737.36,2.867679574,NA,9056.41,3.956956076,"Sarno B, Glass CW, Smith GW, et al. 1994. A comparison of the movements of two species of gadoid in the vicinity of an underwater reef. Journal of Fisheries Biology 45, 811-817.",aquatic,ectotherm,swimming,carnivore,2D,1.39,0.1430148,530,"Brose U, et al. 2005b. Body sizes of consumers and their resources. Ecology 86, 2545."
marine fishes,saithe,actinopterygii,gadiformes,gadidae,pollachius,virens,telemetry,2,448.61,2.65186895,NA,44516.15,4.648517597,"Sarno B, Glass CW, Smith GW, et al. 1994. A comparison of the movements of two species of gadoid in the vicinity of an underwater reef. Journal of Fisheries Biology 45, 811-817.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,lined surgeonfish,actinopterygii,perciformes,acanthuridae,acanthurus,lineatus,direct observation,NA,109.04,2.037585843,NA,11.13,1.046495164,"Nursall JR. 1974. Some Territorial Behavioral Attributes of the Surgeonfish Acanthurus lineatus at Heron Island, Queensland. Copeia 950-959.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,orangespine unicornfish,actinopterygii,perciformes,acanthuridae,naso,lituratus,telemetry,8,772.16,2.8877073,NA,32092.86,4.506408422,"Marshell A, Mills JS, Rhodes KL, et al. 2011. Passive acoustic telemetry reveals highly variable home range and movement patterns among unicornfish within a marine reserve. Coral Reefs 30, 631-642.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,bluespine unicornfish,actinopterygii,perciformes,acanthuridae,naso,unicornis,telemetry,7,151.84,2.181386195,NA,17900,4.252853031,"Marshell A, Mills JS, Rhodes KL, et al. 2011. Passive acoustic telemetry reveals highly variable home range and movement patterns among unicornfish within a marine reserve. Coral Reefs 30, 631-642.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,redlip blenny,actinopterygii,perciformes,blennidae,ophioblennius,atlanticus,direct observation,20,6.2,0.792391689,NA,0.52,-0.283996656,"Nursall JR. 1977. Territoriality in Redlip blennies (Ophioblennius atlanticus - Pisces : Blenniidae). Journal of Zoology, London 182, 205-223.",aquatic,ectotherm,swimming,herbivore,2D,NA,NA,NA,NA
marine fishes,giant trevally,actinopterygii,perciformes,carangidae,caranx,ignobilis,telemetry,4,726.18,2.861044284,NA,52773,4.722411783,"Wetherbee BM, Holland KN, Meyer CG, et al. 2004. Use of a marine reserve in Kaneohe Bay, Hawaii by the giant trevally, Caranx ignobilis. Fisheries Research 67, 253-263. (doi:10.1016/j.fishres.2003.11.004)",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
lake fishes,rock bass,actinopterygii,perciformes,centrarchidae,ambloplites,rupestris,mark-recapture,16,196,2.292256071,NA,10406.9,4.017321381,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,3D,NA,NA,NA,NA
lake fishes,pumpkinseed ,actinopterygii,perciformes,centrarchidae,lepomis,gibbosus,telemetry,4,82,1.913813852,NA,4950,3.694605199,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,3D,NA,NA,NA,NA
lake fishes,bluegill ,actinopterygii,perciformes,centrarchidae,lepomis,macrochirus,telemetry,9,79,1.897627091,NA,4420,3.645422269,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,3D,NA,NA,NA,NA
river fishes,longear sunfish,actinopterygii,perciformes,centrarchidae,lepomis,megalotis,mark-recapture,NA,16,1.204119983,NA,97.5,1.989004616,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
river fishes,smallmouth bass,actinopterygii,perciformes,centrarchidae,micropterus,dolomieu,telemetry,NA,1134,3.054613055,NA,1936.5,3.287017501,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
lake fishes,largemouth bass,actinopterygii,perciformes,centrarchidae,micropterus,salmoides,telemetry,9,2125,3.327358934,NA,34403.33,4.536600481,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,3D,NA,NA,NA,NA
lake fishes,white crappie,actinopterygii,perciformes,centrarchidae,pomoxis,annularis,telemetry,37,423,2.626340367,NA,158000,5.198657087,"Minns, C. K. 1995. Allometry of home range size in lake and river fishes. Canadian Journal of Fisheries and Aquatic Sciences 52:1499-1508.",aquatic,ectotherm,swimming,carnivore,3D,NA,NA,NA,NA
marine fishes,eastern triangular butterflyfish,actinopterygii,perciformes,chaetodontidae,chaetodon,baronessa,direct observation,NA,27.63,1.441380885,NA,63.24,1.800991861,"Reese ES. 1973. Duration of Residence by Coral Reef Fishes on ""Home"" Reefs. Copeia, 1, 145-149.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,Tahititan butterflyfish,actinopterygii,perciformes,chaetodontidae,chaetodon,trichrous,direct observation,28,31.88,1.503518313,NA,59.5,1.774516966,"Reavis RH, Copus JM. 2011. Monogamy in a feeding generalist, Chaetodon trichrous, the endemic Tahitian Butterflyfish. Environmental Biology of Fishes 92, 167-179.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,chevron butterflyfish,actinopterygii,perciformes,chaetodontidae,chaetodon,trifascialis,direct observation,NA,60.54,1.782042417,NA,64.91,1.812311609,"Reese ES. 1973. Duration of Residence by Coral Reef Fishes on ""Home"" Reefs. Copeia, 1, 145-149.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,melon butterflyfish,actinopterygii,perciformes,chaetodontidae,chaetodon,trifasciatus,direct observation,NA,70.45,1.847880997,NA,220.93,2.344254693,"Sutton M. 1985. Patterns of spacing in a coral reef fish in two habitats on the Great Barrier Reef. Animal Behavior 33, 1332-1337.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,teardrop butterflyfish,actinopterygii,perciformes,chaetodontidae,chaetodon,unimaculatus,direct observation,NA,78.12,1.892762235,NA,274.94,2.439237928,"Reese ES. 1973. Duration of Residence by Coral Reef Fishes on ""Home"" Reefs. Copeia, 1, 145-149.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,red moki,actinopterygii,perciformes,cheilodactylidae,cheilodactylus,spectrabilis,telemetry,3,1551.13,3.190648198,NA,2046.67,3.311047824,"Buxton CD, Semmens JM, Forbes E, et al. 2010. Spatial Management of Reef Fisheries And Ecosystems: Understanding The Importance of Movement. FRDC Final Report - Project 2004/002.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,redspotted hawkfish,actinopterygii,perciformes,cirrhitidae,amblycirrhitus,pinos,direct observation,NA,0.45,-0.346787486,NA,2.54,0.404833717,"Luckhurst BE, Luckhurst K. 1978. Diurnal Space Utilization in Coral Reef Fish Communities. Marine Biology 49, 325-332.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
marine fishes,dwarf hawkfish,actinopterygii,perciformes,cirrhitidae,cirrhitichthys,falco,mark-recapture,16,10.45,1.01911629,NA,46.2,1.664641976,"Kadota T, Osato J, Hashimoto H, et al. 2011. Harem structure and female territoriality in the dwarf hawkfish Cirrhitichthys falco (Cirrhitidae). Environmental Biology of Fishes 92, 79-88.",aquatic,ectotherm,swimming,carnivore,2D,NA,NA,NA,NA
